"throbbing pain, fatigue, dizziness, nausea, light sensitivity",Migraine (Classic)
"weak grip, dizziness, waking up with numb hand, numbness and tingling in fingers, wrist pain, hand pain",Carpal Tunnel Syndrome (CTS)
"throbbing pain, dizziness, nausea, light sensitivity, headache",Migraine (Classic)
"hand weakness, wrist discomfort, dropping objects, tingling in thumb index middle fingers, nausea",Carpal Tunnel Syndrome (CTS)
"pain behind ear, inability to control eyelid, rapid onset facial paralysis, difficulty smiling on one side",Bell's Palsy
"severe persistent fatigue not improved by rest, post-exertional malaise, difficulty concentrating, sleep disturbances, joint and muscle pain",Chronic Fatigue Syndrome (CFS)
"warm joints, joint stiffness in morning, swollen hands, constant fatigue, symmetrical joint pain",Rheumatoid Arthritis (RA)
"pelvic pain, constant urge to urinate, burning during urination, foul-smelling urine, passing small amounts of urine",Urinary Tract Infection (UTI)
"fatigue, lack of interest, suicidal thoughts, constant fatigue, difficulty making decisions, hopelessness",Major Depressive Disorder (MDD)
"feelings of guilt, depressed mood, trouble sleeping, changes in appetite, chest pain",Major Depressive Disorder (MDD)
"throbbing pain, dizziness, nausea, light sensitivity, headache",Migraine (Classic)
"joint pain (psoriatic arthritis), thick red patches, dry skin, itchy skin, silvery scales, shortness of breath",Psoriasis
"cloudy urine, mild fever, urge to urinate frequently, pressure above pubic bone",Urinary Tract Infection (UTI)
"fatigue, severe body aches, high fever, headache, chest pain",Influenza (A)
"diarrhea with blood, severe lower abdominal cramps, tenesmus",Ulcerative Colitis (UC)
"headache, loss of appetite, nausea, rebound tenderness, severe lower right abdominal pain",Appendicitis
"itchy eyes, nasal congestion, seasonal recurrence, sneezing, watery discharge",Seasonal Allergic Rhinitis (Hay Fever)
"blurred vision, fever, inability to pass gas, nausea, sharp pain in lower abdomen",Appendicitis
"acid taste, chest pain (non-cardiac), difficulty swallowing, frequent heartburn, headache, hoarseness",Gastroesophageal Reflux Disease (GERD)
"aura, dizziness, nausea, one-sided headache, sensitivity to light, throbbing pain",Migraine (Classic)
"clear runny discharge, itchy nose, postnasal drip, sneezing",Seasonal Allergic Rhinitis (Hay Fever)
"blurred vision, excessive thirst, fatigue, frequent urination",Diabetes (Uncontrolled Type 2)
"guarding, loss of appetite, mild fever, pain intensifying in lower right quadrant",Appendicitis
"blurred vision, red eye, sudden intense eye pain, vomiting",Glaucoma
"chest tightness, coughing at night, shortness of breath, wheezing",Asthma
"difficulty focusing, loss of pleasure, low energy, persistent sadness",Major Depressive Disorder (MDD)
"difficulty walking, electric shock sensation, nausea, numbness, tremor, visual disturbance",Multiple Sclerosis (MS)
"impaired concentration, post-exertional exhaustion, sore throat, tender lymph nodes",Chronic Fatigue Syndrome (CFS)
"chest pain, fever, loss of appetite, nausea, rebound tenderness, severe lower right abdominal pain",Appendicitis
"burning sensation when passing urine, constant urge, dysuria, strong-smelling urine",Urinary Tract Infection (UTI)
"blurred vision, excessive thirst, lethargy, persistent hunger, slow-healing cuts",Diabetes (Uncontrolled Type 2)
"constant fatigue, joint stiffness in morning, swollen hands, symmetrical joint pain, warm joints",Rheumatoid Arthritis (RA)
"chills, clammy skin, confusion, high fever, low blood pressure, rapid heart rate",Sepsis
"blurred vision, excessive thirst, lethargy, slow-healing cuts",Diabetes (Uncontrolled Type 2)
"constant fatigue, joint stiffness in morning, nausea, swollen hands, warm joints",Rheumatoid Arthritis (RA)
"nausea, one-sided headache, sensitivity to light, throbbing pain",Migraine (Classic)
"altered sense of taste, asymmetrical smile, dizziness, facial weakness, inability to furrow brow, pain behind ear",Bell's Palsy
"extreme fatigue, muscle aches, nausea, night sweats, sore throat, swollen glands",Mononucleosis
"crushing chest pain, difficulty breathing, nausea, radiating to back",Myocardial Infarction (MI)
"blurred vision, fatigue, hunger, numbness in feet, unquenchable thirst",Diabetes (Uncontrolled Type 2)
"acute pain in joint, chills, limited movement, most often big toe, redness, swelling",Gout
"persistent ringing in ear, recurrent attacks, severe dizziness, unilateral hearing loss",Meniere's Disease
"blistering, constant intense itching, inflamed dry skin, red patches, weeping",Eczema
"crushing chest pain, difficulty breathing, fatigue, radiating to back",Myocardial Infarction (MI)
"blurred vision, brief dizzy spells, no symptoms, nosebleeds, persistent headache, pounding in chest",Hypertension
"flashes of light, headache, nausea, neck stiffness, throbbing pain",Migraine (Classic)
"breathing difficulty, chest pressure, dizziness, heavy sweating, jaw/shoulder pain, radiating pain",Myocardial Infarction (MI)
"heavy smoking history, nausea, persistent breathlessness, tightness in chest, wheezing",Chronic Obstructive Pulmonary Disease (COPD)
"blurred vision, body aches, fever, headache, persistent cough",Influenza (A)
"chest pain, foot weakness, numbness in calf, pain in the buttock, sharp pain down the leg",Sciatica
"intense eye pain, nausea, red eye, seeing rainbows around light sources",Glaucoma
"chills, extreme fatigue, stiffness upon waking, swollen hands, symmetrical joint pain, tender joints",Rheumatoid Arthritis (RA)
"diminished taste, drooling, facial weakness, inability to close the eye, paralysis of half the face",Bell's Palsy
"chest tightness, chronic cough with phlegm, frequent respiratory infections, wheezing",Chronic Obstructive Pulmonary Disease (COPD)
"asymptomatic, confusion, dizziness, persistent headaches, ringing in the ears (tinnitus)",Hypertension
"low-grade headache, sneezing, stuffy nose, throat irritation, watery eyes",Common Cold (Viral Rhinitis)
"facial pain, headache, persistent congestion, pressure around eyes, thick nasal discharge",Sinusitis (Acute)
"itchy eyes, nasal congestion, seasonal recurrence, watery discharge",Seasonal Allergic Rhinitis (Hay Fever)
"constant tinnitus in one ear, fullness feeling, hearing loss fluctuations, severe imbalance, unpredictable vertigo",Meniere's Disease
"flashing lights, intense pain, one-sided headache, sound sensitivity, vomiting",Migraine (Classic)
"dysuria, frequent urination, intense burning, pain in lower abdomen",Urinary Tract Infection (UTI)
"constant fatigue, joint stiffness, low-grade fever, shortness of breath, symmetrical swelling, tender hands",Rheumatoid Arthritis (RA)
"lower back discomfort, nausea, severe radiating pain from buttock down leg, weakness in foot",Sciatica
"chest pain, congestion, mild body aches, sneezing, stuffy nose, throat tickle",Common Cold (Viral Rhinitis)
"numbness, one-sided facial droop, sudden loss of muscle control in face",Bell's Palsy
"difficulty focusing, loss of pleasure, low energy, persistent sadness, significant appetite change",Major Depressive Disorder (MDD)
"clammy skin, high fever, productive cough, rapid shallow breathing",Pneumonia
"feeling of doom, left arm pain, severe sweating, shortness of breath",Myocardial Infarction (MI)
"burning sensation in fingers, fatigue, frequent wrist pain, hand pain, numbness, weak grip",Carpal Tunnel Syndrome (CTS)
"crepitus, pain worse in evening, stiffness in joints after inactivity, swelling around joint",Osteoarthritis (OA)
"chest pain, chronic fatigue, difficulty speaking, numbness in legs, tingling in hands, tremor",Multiple Sclerosis (MS)
"hand pain, numbness and tingling in fingers, waking up with numb hand, weak grip, wrist pain",Carpal Tunnel Syndrome (CTS)
"cough with mucus, heavy smoking history, persistent breathlessness, tightness in chest",Chronic Obstructive Pulmonary Disease (COPD)
"burning sensation in fingers, frequent wrist pain, hand pain, numbness, weak grip",Carpal Tunnel Syndrome (CTS)
"sensitivity to sound, throbbing pain, visual aura",Migraine (Classic)
"confusion, dizziness, fever, life-threatening infection, mottled skin, rapid breathing, shortness of breath",Sepsis
"bloody diarrhea, nausea, severe abdominal cramps, tenesmus, urgent bowel movements, weight loss",Ulcerative Colitis (UC)
"blurred vision, burning chest pain, regurgitation, sore throat, worsening symptoms after eating",Gastroesophageal Reflux Disease (GERD)
"dizziness, nausea, pain in shoulder, pressure in chest, severe sweating",Myocardial Infarction (MI)
"extreme exhaustion, malaise after exertion, memory problems, muscle aches, unrefreshing sleep",Chronic Fatigue Syndrome (CFS)
"burning sensation in leg, lower back discomfort, severe radiating pain from buttock down leg, weakness in foot",Sciatica
"acid reflux, chest discomfort, constant clearing of throat, heartburn, sour regurgitation",Gastroesophageal Reflux Disease (GERD)
"allergic triggers, clear nasal discharge, congested nose, constant sneezing, itchy watery eyes",Seasonal Allergic Rhinitis (Hay Fever)
"blurred vision, chest pain, red eye, seeing halos, sudden intense eye pain, vomiting",Glaucoma
"cough with mucus, heavy smoking history, nausea, persistent breathlessness, tightness in chest, wheezing",Chronic Obstructive Pulmonary Disease (COPD)
"loss of appetite, mild fever, pain intensifying in lower right quadrant",Appendicitis
"acid taste, chest pain (non-cardiac), difficulty swallowing, frequent heartburn, hoarseness, nausea",Gastroesophageal Reflux Disease (GERD)
"constant restlessness, difficulty sleeping, dizziness, feeling on edge, muscle tension, uncontrollable worry",Generalized Anxiety Disorder (GAD)
"fatigue, malaise, persistent fever, shortness of breath, swollen glands",Mononucleosis
"dizziness, fever, loss of appetite, nausea, rebound tenderness, severe lower right abdominal pain",Appendicitis
"extreme exhaustion, malaise after exertion, memory problems, unrefreshing sleep",Chronic Fatigue Syndrome (CFS)
"cold intolerance, constant fatigue, hair loss, shortness of breath, unexplained weight gain",Hypothyroidism
"nail problems, persistent itching, red inflamed skin, scaly patches on skin, silver scales",Psoriasis
"difficulty concentrating, dry hair, extreme tiredness, sensitivity to cold, slow heart rate",Hypothyroidism
"asymmetrical smile, facial weakness, inability to furrow brow, pain behind ear",Bell's Palsy
"chest tightness, coughing at night, difficulty breathing, shortness of breath, wheezing",Asthma
"abdominal pain, bloody stools, extreme urgency, fever, weight loss",Ulcerative Colitis (UC)
"abdominal pain, alternating periods of diarrhea and constipation, bloating, cramping, nausea, urgency",Irritable Bowel Syndrome (IBS)
"difficulty standing/walking, low back pain, nausea, pain radiating down the leg, tingling sensation",Sciatica
"chills, disorientation, low blood pressure, rapid pulse",Sepsis
